epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,2655.81,1.00533,0.68044,1.13887,0.86642,0.82658,0.90069,0.6246,1.06657,0.6488,1.13744,0.0245797,0.00819325,0.0245797,0.00819325,0.0245797,0.00819325,0.0245797,0.00819325
75,2691.68,0.99781,0.67992,1.13723,0.87835,0.84599,0.91654,0.63969,1.03215,0.61432,1.12384,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
76,2727.58,0.97514,0.65972,1.13119,0.88533,0.83313,0.91419,0.63569,1.03527,0.62612,1.12644,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
77,2763.3,0.98303,0.66426,1.14044,0.87393,0.83358,0.90567,0.63058,1.02697,0.64663,1.12624,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
78,2799.75,1.00676,0.67179,1.13697,0.87369,0.83889,0.91239,0.63083,1.03213,0.64332,1.12662,0.0242827,0.00809425,0.0242827,0.00809425,0.0242827,0.00809425,0.0242827,0.00809425
79,2835.88,0.97005,0.64531,1.11419,0.87484,0.83453,0.9123,0.64302,1.01664,0.61462,1.11739,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
80,2872.43,0.96925,0.65157,1.12476,0.87948,0.83995,0.91224,0.64008,1.0197,0.63503,1.11832,0.0241342,0.00804475,0.0241342,0.00804475,0.0241342,0.00804475,0.0241342,0.00804475
81,2908.47,0.97097,0.63912,1.12797,0.88932,0.81759,0.90656,0.62257,1.03904,0.66434,1.12776,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
82,2945.2,0.97349,0.66465,1.12253,0.87268,0.81501,0.89861,0.62026,1.0481,0.64094,1.13285,0.0239858,0.00799525,0.0239858,0.00799525,0.0239858,0.00799525,0.0239858,0.00799525
83,2981.29,0.96132,0.63996,1.11526,0.85406,0.8407,0.90837,0.63664,1.00125,0.63205,1.11559,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
84,3017.43,0.96296,0.64086,1.1091,0.8924,0.81833,0.91167,0.64777,1.00058,0.62037,1.10409,0.0238373,0.00794575,0.0238373,0.00794575,0.0238373,0.00794575,0.0238373,0.00794575
85,3053.36,0.96431,0.65601,1.12525,0.8926,0.83556,0.91076,0.63686,1.01694,0.61922,1.11626,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
86,3089.46,0.94716,0.62981,1.10686,0.86854,0.84378,0.89508,0.6274,1.02283,0.6499,1.11468,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
